Date,Opp,Score,MIN,PTS,TRB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB
"2/10/17","NY","W 131-123",36,40,9,5,2,0,2,2,17,23,"73.9%",2,3,"66.7%",4,5,"80%",4,5
"2/8/17","ATL","L 106-117",34,18,15,3,0,0,0,4,8,17,"47.1%",2,3,"66.7%",0,0,"0%",9,6
"2/6/17","DAL","W 110-87",24,13,4,9,1,0,2,5,5,9,"55.6%",0,1,"0%",3,3,"100%",1,3
"2/4/17","SA","L 97-121",15,11,1,2,0,0,5,3,5,9,"55.6%",1,2,"50%",0,0,"0%",1,0
"2/3/17","MIL","W 121-117",32,20,13,11,1,0,2,0,8,15,"53.3%",2,4,"50%",2,2,"100%",6,7
"1/26/17","PHO","W 127-120",35,29,14,8,1,2,3,2,12,21,"57.1%",0,2,"0%",5,6,"83.3%",8,6
"1/24/17","UTA","W 103-93",35,23,11,6,2,3,4,3,9,16,"56.2%",0,4,"0%",5,5,"100%",0,11
"1/22/17","MIN","L 108-111",27,18,8,4,3,1,4,5,8,15,"53.3%",0,3,"0%",2,2,"100%",5,3
"1/21/17","LAC","W 123-98",21,19,10,3,0,0,3,3,8,11,"72.7%",2,3,"66.7%",1,1,"100%",3,7
"1/19/17","SA","L 104-118",37,35,12,4,0,2,3,2,14,22,"63.6%",2,4,"50%",5,5,"100%",4,8
"1/17/17","LAL","W 127-121",33,29,15,1,0,3,2,3,12,22,"54.5%",1,5,"20%",4,6,"66.7%",7,8
"1/16/17","ORL","W 125-112",35,30,11,5,3,0,2,2,13,19,"68.4%",1,2,"50%",3,5,"60%",3,8
"1/12/17","IND","W 140-112",30,22,10,8,1,1,3,1,7,11,"63.6%",2,3,"66.7%",6,6,"100%",3,7
"1/5/17","SA","L 99-127",27,19,11,5,1,0,3,2,8,10,"80%",0,0,"0%",3,4,"75%",5,6
"1/3/17","SAC","L 113-120",28,18,6,5,1,1,1,3,7,11,"63.6%",1,2,"50%",3,3,"100%",1,5
"1/2/17","GS","L 119-127",24,21,13,5,1,0,2,2,8,17,"47.1%",1,2,"50%",4,4,"100%",8,5
"12/30/16","PHI","L 122-124",22,25,7,4,0,0,2,5,9,13,"69.2%",0,0,"0%",7,9,"77.8%",2,5
"12/28/16","MIN","W 105-103",34,16,8,11,0,1,2,3,6,12,"50%",0,2,"0%",4,5,"80%",2,6
"12/26/16","LAC","W 106-102",32,24,10,4,3,0,2,4,11,16,"68.8%",2,3,"66.7%",0,1,"0%",2,8
"12/23/16","ATL","L 108-109",19,8,7,6,0,3,5,6,3,4,"75%",1,1,"100%",1,2,"50%",1,6
"12/20/16","LAC","L 102-119",20,9,6,1,0,0,2,3,4,7,"57.1%",0,2,"0%",1,2,"50%",2,4
"12/19/16","DAL","W 117-107",38,27,17,9,1,0,3,1,13,17,"76.5%",1,1,"100%",0,0,"0%",3,14
"12/17/16","NY","W 127-114",20,10,9,5,0,0,1,5,5,8,"62.5%",0,0,"0%",0,0,"0%",2,7
"12/15/16","POR","W 132-120",19,13,4,5,0,0,1,5,5,6,"83.3%",1,1,"100%",2,3,"66.7%",0,4
"12/12/16","DAL","L 92-112",26,27,11,4,1,1,1,1,10,12,"83.3%",0,0,"0%",7,7,"100%",7,4
"12/10/16","ORL","W 121-113",26,14,6,6,1,2,1,3,6,11,"54.5%",0,3,"0%",2,2,"100%",1,5
"12/8/16","WAS","L 85-92",27,17,11,1,0,1,4,1,6,10,"60%",0,0,"0%",5,7,"71.4%",7,4
"12/7/16","BKN","L 111-116",21,14,11,3,0,1,1,3,5,7,"71.4%",0,0,"0%",4,4,"100%",7,4
"11/30/16","MIA","L 98-106",24,17,14,3,1,0,1,3,7,11,"63.6%",0,0,"0%",3,4,"75%",3,11
"11/27/16","PHO","W 120-114",31,13,11,3,0,1,1,2,3,8,"37.5%",1,2,"50%",6,6,"100%",3,8
"11/25/16","OKC","L 129-132",29,7,6,5,0,2,3,5,3,7,"42.9%",1,2,"50%",0,0,"0%",3,3
"11/23/16","UTA","L 83-108",22,9,5,6,0,0,0,4,4,6,"66.7%",0,0,"0%",1,2,"50%",1,4
"11/22/16","CHI","W 110-107",18,8,8,3,1,1,0,1,3,5,"60%",0,0,"0%",2,2,"100%",3,5
"11/20/16","UTA","W 105-91",20,12,5,4,0,1,0,3,5,8,"62.5%",1,1,"100%",1,2,"50%",2,3
"11/18/16","TOR","L 111-113",27,8,12,4,0,1,3,3,4,8,"50%",0,2,"0%",0,0,"0%",2,10
"11/16/16","PHO","W 120-104",19,10,2,2,0,0,1,3,3,4,"75%",0,0,"0%",4,5,"80%",0,2
"11/13/16","POR","L 105-112",25,0,5,3,1,1,2,5,0,3,"0%",0,0,"0%",0,0,"0%",0,5
"11/12/16","DET","L 95-106",20,6,3,1,1,0,1,1,2,7,"28.6%",0,0,"0%",2,2,"100%",2,1
"11/10/16","GS","L 101-125",18,4,3,2,1,0,0,3,1,5,"20%",0,3,"0%",2,2,"100%",1,2
"11/8/16","MEM","L 107-108",28,12,5,2,2,0,0,4,4,10,"40%",1,3,"33.3%",3,4,"75%",1,4
"11/6/16","BOS","W 123-107",22,9,5,2,1,1,1,2,4,5,"80%",0,1,"0%",1,1,"100%",0,5
"11/5/16","DET","L 86-103",22,6,6,0,1,1,1,3,3,9,"33.3%",0,0,"0%",0,0,"0%",2,4
"11/3/16","MIN","W 102-99",14,8,3,5,0,0,1,3,3,3,"100%",0,0,"0%",2,4,"50%",1,2
"10/31/16","TOR","L 102-105",22,12,4,1,0,0,4,4,6,9,"66.7%",0,1,"0%",0,0,"0%",2,2
"10/29/16","POR","L 113-115",34,23,17,2,4,1,1,5,10,20,"50%",1,5,"20%",2,3,"66.7%",6,11
"10/26/16","NO","W 107-102",21,5,7,2,0,0,4,4,2,5,"40%",1,2,"50%",0,0,"0%",1,6
"4/13/16","POR","L 99-107",34,18,13,5,0,0,2,3,7,10,"70%",1,2,"50%",3,3,"100%",6,7
"4/10/16","UTA","L 84-100",36,19,11,4,2,1,1,4,7,9,"77.8%",0,2,"0%",5,6,"83.3%",3,8
"4/8/16","SA","W 102-98",32,8,15,4,1,1,0,2,3,9,"33.3%",0,2,"0%",2,2,"100%",3,12
